Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
102.4235914121569,0.07589298674860623,-0.04159967615769388,-17.19275718122432
102.5179704825558,0.07568525491585008,-0.04156958136057757,-17.20791227333248
102.6124365193343,0.0758651330811165,-0.04178352450321296,-17.22464608992146
102.7069896026283,0.07578344658050701,-0.04165170895331535,-17.23833742613119
102.8016298126474,0.07587107899810877,-0.04172471803249343,-17.25632227776191
102.8963572296755,0.07612906125074688,-0.04190629444642373,-17.27344119970131
102.99117193407,0.07566658807854192,-0.04169152506386313,-17.28670731823775
103.0860740062627,0.0758887373222312,-0.04170685773686816,-17.30270871950322
103.1810635267593,0.07586295605100321,-0.04185499299439652,-17.31933049340068
103.2761405761399,0.07573964534504593,-0.04172605588263409,-17.33601888986789
103.3713052350585,0.07581742247257547,-0.04182805939782031,-17.34991607538182
103.4665575842438,0.07588695062008899,-0.04210772744327196,-17.36802331463523
103.5618977044988,0.07571407062357628,-0.04194815466363527,-17.38269279968748
103.6573256767006,0.07576496735702057,-0.04187155236304521,-17.39970353766741
103.7528415818014,0.07592755655588082,-0.04216140775317261,-17.4151283320447
103.8484455008275,0.07581815558198858,-0.0420295475936916,-17.431057949915
103.9441375148802,0.07571635466814108,-0.04207905256707194,-17.44657415544066
104.0399177051353,0.07593769837853157,-0.0423775554155956,-17.4620775184749
104.1357861528436,0.07583118448071666,-0.04228137705201963,-17.47954511593849
104.2317429393305,0.07534117965825747,-0.04179347338123848,-17.49471732124768
104.3277881459967,0.07593291652063563,-0.04197669870997274,-17.51091931349532
104.4239218543175,0.07576612836145151,-0.04237795673976679,-17.52649987790412
104.5201441458437,0.07576326209477496,-0.04222317627257804,-17.54309596318035
104.6164551022009,0.07555250928000339,-0.0420404136952847,-17.56159111718918
104.7128548050901,0.07622903412417908,-0.04248524927931021,-17.57660659921687
104.8093433362874,0.0757012214052179,-0.04229259388296663,-17.59126118165365
104.9059207776446,0.07590609921336594,-0.04220662369031944,-17.60768735642736
105.0025872110886,0.0757584823449674,-0.04221625890847183,-17.62293230075873
105.0993427186218,0.07584749079991197,-0.04244249856491492,-17.63817396754902
105.1961873823224,0.07608899857668101,-0.04265704262311058,-17.65556727115187
105.293121284344,0.07557071984513987,-0.04245378763325933,-17.67260399313488
105.3901445069161,0.07591850555444526,-0.04255073069657422,-17.68861721622305
105.4872571323438,0.07576798847846093,-0.04243873310128093,-17.70256808620569
105.5844592430081,0.07573571706117536,-0.04246799198923201,-17.72143215647792
105.681750921366,0.07575452528466033,-0.04238640343472258,-17.73777733643282
105.7791322499502,0.07571701773796156,-0.04273770534910871,-17.75246418752718
105.8766033113698,0.07559451017784968,-0.04244864686099504,-17.77049277682939
105.9741641883098,0.07577249390667981,-0.04233757226862204,-17.78483809528419
106.0718149635316,0.07582843730284622,-0.04259992844520964,-17.80322222333987
106.1695557198726,0.07547439315773168,-0.04209361941040706,-17.8180610284104
106.2673865402466,0.07580281820515389,-0.04234675279498035,-17.83530707608207
106.3653075076439,0.07584160768441739,-0.04257661702840026,-17.85218763883329
106.4633187051313,0.07610953173190958,-0.04276341726702225,-17.86869052984943
106.561420215852,0.07555569147650393,-0.04257635249250789,-17.88391105286208
106.6596121230259,0.07590917208947194,-0.04279637321426755,-17.90008533797942
106.7578945099495,0.07598991898562031,-0.04275551028459192,-17.91728889267216
106.8562674599962,0.07577963326419231,-0.04253336303128845,-17.93296530689955
106.9547310566161,0.07597162215630279,-0.04264963549703321,-17.94869176159433
107.0532853833363,0.07589765633148667,-0.0427160422115357,-17.9666982455626
107.1519305237608,0.0759226573434529,-0.04278773000966434,-17.98193417610642
107.2506665615705,0.07581352222082924,-0.04259255311187853,-18.00043134692719
107.3494935805237,0.07597349429152397,-0.0430407252895442,-18.01911807525055
107.4484116644556,0.07615067720282147,-0.04278794744229948,-18.03235687899969
107.547420897279,0.07578753481365245,-0.04275050724869935,-18.04879201789505
107.6465213629836,0.07620980489518701,-0.04288753218675836,-18.06696722915854
107.7457131456368,0.0759951884666791,-0.04290436520977488,-18.08171603294628
107.8449963293833,0.07578863621514881,-0.04271349311396447,-18.09977874683366
107.9443709984454,0.07598869702450556,-0.04287975804264737,-18.1144805119952
108.0438372371231,0.07609663580501827,-0.04300658415808245,-18.13296743803642
108.1433951297939,0.07603748025860277,-0.0430245843366012,-18.14988888863991
108.2430447609132,0.07591003656519621,-0.04296384699018334,-18.16654679516975
108.342786215014,0.07610033263084981,-0.04295801076227492,-18.18138939358763
108.4426195767075,0.07581871101595342,-0.04288618327579366,-18.19935751643723
108.5425449306828,0.07606359804365757,-0.04292944368296318,-18.21663802485774
108.6425623617067,0.07591920933918538,-0.04300912431533208,-18.23263160469061
108.7426719546245,0.07603708700379128,-0.04315250022953383,-18.25082320161391
108.8428737943595,0.07601129292142518,-0.04306309742820722,-18.26727925691245
108.9431679659134,0.07567488263743176,-0.04319464067076717,-18.282378775255
109.0435545543661,0.07616864613317689,-0.04345050415220295,-18.29928744874772
109.1440336448758,0.07576989176627492,-0.04323624226162058,-18.31646209787196
109.2446053226793,0.07543645598724948,-0.04328800384313879,-18.33236123449275
109.3452696730921,0.0753915110113067,-0.04295257089341525,-18.35093494929777
109.446026781508,0.07585136538375493,-0.04330115451906209,-18.36677609102679
109.5468767333998,0.07572160795779365,-0.04299415150963418,-18.38581032285893
109.6478196143186,0.07566939324427353,-0.04316642938779418,-18.40216859865133
109.7488555098949,0.07608788344969455,-0.04348679712776254,-18.41839011094389
109.8499845058377,0.07594622930127232,-0.04340463640969228,-18.43581030882187
109.9512066879351,0.07573653409625544,-0.04333196534133692,-18.45277786788288
110.0525221420543,0.07598593266640088,-0.04332598072816035,-18.46970515114194
110.1539309541416,0.07562261156381771,-0.04321264023102019,-18.48565714373589
110.2554332102224,0.07608052340731486,-0.04364065738644798,-18.50263553612245
110.3570289964016,0.07590041535152695,-0.04346295017369201,-18.52228658001744
110.4587183988631,0.07614257501684898,-0.04389158516591861,-18.53849187432361
