Time (s),Channel 1 (V),Channel 2 (V)
0.01199471,-0.01775614400404163,-0.01629140956726271
0.01199523,-0.01708130783165964,-0.01527902162232346
0.01199575,-0.01438196314213385,-0.01325424573244559
0.01199627,-0.01269487271118089,-0.01122946984257048
0.01199679,-0.01134520036642244,-0.01055454454594698
0.01199731,-0.00999552802165909,-0.009204693952695985
0.01199783,-0.007971019504514823,-0.006842455414506208
0.01199835,-0.006958765245942153,-0.005830067469566812
0.01199887,-0.00527167481499333,-0.003805291579695385
0.01199939,-0.003584584384039903,-0.002455440986443163
0.01199991,-0.001897493953085709,-0.0007681277448785772
0.01200043,-0.0005478216083225077,-9.320244825231295e-05
0.01200095,0.001814104995012443,0.001931573441625099
0.01200147,0.003501195425960499,0.003618886683183853
0.01200199,0.005188285856914693,0.005306199924748746
0.01200251,0.005863122029296525,0.006656050518000201
0.01200303,0.007212794374060493,0.008343363759564787
0.01200355,0.00923730289119816,0.009693214352811792
0.01200407,0.01058697523596274,0.0110430649460637
0.01200459,0.0119366475807261,0.01239291553931562
0.01200511,0.01396115609787067,0.01441769142919226
0.01200563,0.01699791887358592,0.01576754202244418
0.01200615,0.01834759121834436,0.01711739261569118
0.01200667,0.01969726356310772,0.01947963115388065
0.01200719,0.02205919016644205,0.02116694439544509
0.01200771,0.02408369868358555,0.02285425763700906
0.01200823,0.02442111676977516,0.02352918293363256
0.01200875,0.02644562528691713,0.02555395882350798
0.01200927,0.02712046145929973,0.02622888412013486
0.01200979,0.02880755189025361,0.02791619736169929
0.01201031,0.03083206040739819,0.02960351060326372
0.01201083,0.03251915083834624,0.03095336119651072
0.01201135,0.0348810774416812,0.03365306238301271
0.01201187,0.0362307497864444,0.03432798767963929
0.01201239,0.0369055859588273,0.03500291297626586
0.01201291,0.03893009447596497,0.03635276356951286
0.01201343,0.03994234873453932,0.03837753945938951
0.01201395,0.04129202107930176,0.03972739005264142
0.01201447,0.0429791115102558,0.04107724064589349
0.01201499,0.04466620194120892,0.04276455388745761
0.01201551,0.04601587428597412,0.04445186712902189
0.01201603,0.04837780088930139,0.0458017177222689
0.01201655,0.05073972749263727,0.04748903096383348
0.01201707,0.05208939983740032,0.04850141890877303
0.01201759,0.05310165409597283,0.05018873215033669
0.01201811,0.05445132644073128,0.0515385827435837
0.01201863,0.05613841687168501,0.05322589598514813
0.01201915,0.05816292538882989,0.05491320922671303
0.01201967,0.06018743390597246,0.05660052246827593
0.01202019,0.06052485199216637,0.05693798511659136
0.01202071,0.06254936050930403,0.05862529835815011
0.01202123,0.06457386902644907,0.06098753689634035
0.01202175,0.06592354137121227,0.06233738748959196
0.01202227,0.06828546797454724,0.06436216337946937
0.01202279,0.06997255840549529,0.06604947662102811
0.01202331,0.07199706692263985,0.06807425251090554
0.01202383,0.07368415735359359,0.06942410310415745
0.01202435,0.07402157543978519,0.07009902840078372
0.01202487,0.07537124778454855,0.07144887899403564
0.01202539,0.07672092012930701,0.07279872958728265
0.01202591,0.07942026481883246,0.07414858018053455
0.01202643,0.08076993716359551,0.07516096812547364
0.01202695,0.08279444568073964,0.07752320666366358
0.01202747,0.08414411802549808,0.07921051990522232
0.01202799,0.08515637228407107,0.08022290785016219
0.01202851,0.08718088080121472,0.08224768374003866
0.01202903,0.08920538931835943,0.08326007168497822
0.01202955,0.0908924797493124,0.08494738492654251
0.01203007,0.09190473400788124,0.08629723551978952
0.01203059,0.09359182443883406,0.08764708611304081
0.01203111,0.0952789148697884,0.08967186200291835
0.01203163,0.09730342338693253,0.09169663789279439
0.01203215,0.09865309573169094,0.09237156318941792
0.01203267,0.09932793190407355,0.09405887643098142
0.01203319,0.1010150223350265,0.09642111496917088
0.01203371,0.1023646946797899,0.09743350291410982
0.01203423,0.103714367024554,0.09844589085904969
0.01203475,0.1060762936278824,0.1004706667489211
0.01203527,0.1077633840588364,0.1021579799904856
0.01203579,0.1091130564036,0.1031703679354249
0.01203631,0.1108001468345552,0.1045202185286773
0.01203683,0.1131620734378825,0.1062075317702361
0.01203735,0.1145117457826466,0.1082323076601126
0.01203787,0.1158614181274099,0.1092446956050524
0.01203839,0.1175485085583638,0.1105945461983046
0.01203891,0.118898180903127,0.1122818594398674
0.01203943,0.1205852713340758,0.1129567847364912
0.01203995,0.1226097798512197,0.1143066353297419
0.01204047,0.1232846160236026,0.1156564859229938
0.01204099,0.125309124540746,0.1170063365162454
0.01204151,0.1266587968855051,0.1186936497578049
0.01204203,0.1280084692302678,0.1200435003510567
0.01204255,0.1293581415750312,0.1210558882959959
0.01204307,0.1313826500921759,0.1230806641858735
0.01204359,0.1330697405231284,0.1247679774274372
0.01204411,0.1340819947816972,0.1261178280206842
0.01204463,0.1357690852126505,0.1274676786139361
0.01204515,0.1364439213850331,0.1284800665588753
0.01204567,0.1381310118159869,0.1298299171521269
0.01204619,0.1401555203331254,0.1315172303936865
0.01204671,0.1415051926778891,0.1332045436352506
0.01204723,0.1425174469364619,0.1345543942285028
0.01204775,0.1442045373674154,0.1362417074700666
0.01204827,0.14589162779837,0.1372540954150069
0.01204879,0.1479161363155077,0.1392788713048774
0.01204931,0.1489283905740816,0.1402912592498178
0.01204983,0.1506154810050347,0.1416411098430689
0.01205035,0.151965153349799,0.1433284230846341
0.01205087,0.1543270799531263,0.1453531989745046
0.01205139,0.1560141703840817,0.1463655869194454
0.01205191,0.1566890065564643,0.1473779748643843
0.01205243,0.1587135150736084,0.1490652881059486
0.01205295,0.160738023590753,0.1510900639958251
0.01205347,0.162425114021701,0.1521024519407603
0.01205399,0.1637747863664648,0.1534523025340118
0.01205451,0.1651244587112276,0.1554770784238884
0.01205503,0.1664741310559912,0.1568269290171397
0.01205555,0.1681612214869393,0.1575018543137633
0.01205607,0.169173475745513,0.1588517049070139
0.01205659,0.1701857300040851,0.1605390181485777
0.01205711,0.1718728204350387,0.1618888687418298
0.01205763,0.1728850746936126,0.1632387193350827
0.01205815,0.1749095832107502,0.1652634952249531
0.01205867,0.1769340917278953,0.166613345818206
0.01205919,0.1782837640726583,0.1676257337631446
0.01205971,0.1796334364174226,0.1686381217080845
0.01206023,0.1819953630207499,0.170662897597955
0.01206075,0.1833450353655151,0.1720127481912081
0.01206127,0.1843572896240874,0.1737000614327719
0.01206179,0.1857069619688509,0.1747124493777114
0.01206231,0.187731470485995,0.1760622999709636
0.01206283,0.1897559790031401,0.1784245385091538
0.01206335,0.1917804875202778,0.1804493143990243
0.01206387,0.1927927417788512,0.1817991649922768
0.01206439,0.1948172502959956,0.1828115529372164
0.01206491,0.1961669226407574,0.1844988661787796
0.01206543,0.1968417588131366,0.1855112541237148
0.01206595,0.1995411035026606,0.1885484179585289
0.01206647,0.2019030301059965,0.189898268551782
0.01206699,0.20392753862314,0.1922605070899709
0.01206751,0.2052772109679039,0.1936103576832222
0.01206803,0.206964301398852,0.1946227456281575
0.01206855,0.2086513918298062,0.1966475215180344
0.01206907,0.2103384822607596,0.1986722974079107
0.01206959,0.2120255726917147,0.199347222704539
0.01207011,0.214387499295042,0.2017094612427213
0.01207063,0.2167494258983779,0.2033967744842871
0.01207115,0.2187739344155226,0.205759013022477
0.01207167,0.2197861886740956,0.2067714009674161
0.01207219,0.2218106971912406,0.2084587142089822
0.01207271,0.2238352057083783,0.2108209527471645
0.01207323,0.2265345503979044,0.2131831912853553
0.01207375,0.228896477001239,0.2152079671752322
0.01207427,0.2309209855183836,0.2172327430651092
0.01207479,0.2326080759493316,0.2185825936583562
0.01207531,0.2346325844664762,0.2209448321965457
0.01207583,0.2366570929836203,0.2226321454381101
0.01207635,0.238006765328384,0.223981996031362
0.01207687,0.2396938557593388,0.2253318466246146
0.01207739,0.2417183642764765,0.2270191598661733
0.01207791,0.2434054547074302,0.2293813984043625
